"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
participant,demographics,,text,Participant,,,,,,y,,y,,
date_of_test,demographics,,text,"Date of Test",,,date_ymd,2010-01-01,,,,y,,
birthday,demographics,,text,Birthday,,,date_ymd,,,y,,y,,
age,demographics,,calc,Age,"round(datediff(""today"",[birthday],""y""),0)",,,,,,,y,,
sex,demographics,,radio,Sex,"0, Female | 1, Male | 2, Not reported",,,,,,,y,,
race,demographics,,checkbox,Race,"0, Unknown | 1, First Nations | 2, Asian | 3, Caucasian | 4, African American | 5, Indian | 6, Other",,,,,,,,,
specify_race,demographics,,text,"Please Specify",,,,,,,"[race(6)] = ""1""",,,
medical_history,demographics,,checkbox,"Medical History","0, None | 1, Fetal Alcohol Spectrum Disorder(FASD) | 2, Attenion Deficit Hyperactivity Disorder(ADHD) | 3, Touette's Disorder | 4, Anxiety Disorder | 5, Depression | 6, Bipolar Mood Disorder | 7, Oppositional Defiant Disorder | 8, Conduct Disorder | 9, Autism | 10, Asperger's Disorder | 11, Psychosis | 12, Schizophrenia | 13, Neurological Disorder | 14, Others",,,,,,,,,
who_diagnosed_by,demographics,,text,"Who diagnosed by",,,,,,,"[medical_history(1)] = '1'",,,
digit_diagnostic_code,demographics,,text,"4 digit diagnostic code",,,integer,,,,"[medical_history(1)] = '1'",,,
type_of_fasd,demographics,,radio,"Type of FASD","0, FAS | 1, ARND | 2, pFAS | 3, FAE | 4, ARBD",,,,,,,,,
fasd_age_diagnosed,demographics,,text,"FASD Age diagnosed",,,integer,,18,,"[medical_history(1)] =""1""",,,
fasd_current,demographics,,radio,"FASD Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(1)] =""1""",,,
adhd_age_diagnosed,demographics,,text,"ADHD Age diagnosed",,,integer,,18,,"[medical_history(2)] =""1""",,,
adhd_current,demographics,,radio,"ADHD Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(2)] =""1""",,,
tourette_age_diagnosed,demographics,,text,"Tourette's Age diagnosed",,,integer,,18,,"[medical_history(3)] =""1""",,,
tourette_current,demographics,,radio,"Tourette's Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(3)] =""1""",,,
anxiety_age_diagnosed,demographics,,text,"Anxiety Age diagnosed",,,integer,,18,,"[medical_history(4)] =""1""",,,
anxiety_current,demographics,,radio,"Anxiety Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(4)] =""1""",,,
depression_age_diagnosed,demographics,,text,"Depression Age diagnosed",,,integer,,18,,"[medical_history(5)] =""1""",,,
depression_current,demographics,,radio,"Depression Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(5)] =""1""",,,
bipolar_age_diagnosed,demographics,,text,"Bipolar Age diagnosed",,,integer,,18,,"[medical_history(6)] =""1""",,,
bipolar_current,demographics,,radio,"Bipolar Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(6)] =""1""",,,
odd_age_diagnosed,demographics,,text,"ODD Age diagnosed",,,integer,,18,,"[medical_history(7)] =""1""",,,
odd_current,demographics,,radio,"ODD Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(7)] =""1""",,,
conduct_age_diagnosed,demographics,,text,"Conduct Age diagnosed",,,integer,,18,,"[medical_history(8)] =""1""",,,
conduct_current,demographics,,radio,"Conduct Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(8)] =""1""",,,
autism_age_diagnosed,demographics,,text,"Autism Age diagnosed",,,integer,,18,,"[medical_history(9)] =""1""",,,
autism_current,demographics,,radio,"Autism Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(9)] =""1""",,,
aspergers_age_diagnosed,demographics,,text,"Asperger's Age diagnosed",,,integer,,18,,"[medical_history(10)] =""1""",,,
aspergers_current,demographics,,radio,"Asperger's Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(10)] =""1""",,,
psychosis_age_diagnosed,demographics,,text,"Psychosis Age diagnosed",,,integer,,18,,"[medical_history(11)] =""1""",,,
psychosis_current,demographics,,radio,"Psychosis Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(11)] =""1""",,,
schizophrenia_age_diagnosed,demographics,,text,"Schizophrenia Age diagnosed",,,integer,,18,,"[medical_history(12)] =""1""",,,
schizophrenia_current,demographics,,radio,"Schizophrenia Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(12)] =""1""",,,
neurological_age_diagnosed,demographics,,text,"Neurological Age diagnosed",,,integer,,18,,"[medical_history(13)] =""1""",,,
neurological_current,demographics,,radio,"Neurological Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(13)] =""1""",,,
specify,demographics,,text,"Please Specify",,,,,,,"[medical_history(14)] = ""1""",,,
other_age_diagnosed,demographics,,text,"Other Age diagnosed",,,,,,,"[medical_history(14)] =""1""",,,
other_current,demographics,,radio,"Other Current Disorder","0, Yes | 1, No",,,,,,"[medical_history(14)] =""1""",,,
current_med,demographics,,checkbox,"Current Medication","0, None | 1, Ritalin | 2, Dexedrine | 3, Cylert | 4, Tranquilizers | 5, Anticonvulsants | 6, Antihistamines | 7, Antidepressants | 8, Adderall | 9, Concerta | 10, Others",,,,,,,,,
ritalin_dose,demographics,,text,"Ritalin Dose/Day",,,integer,,,,"[current_med(1)] = ""1""",,,
ritalin_date,demographics,,text,"Ritalin Date Started",,,date_ymd,,,,"[current_med(1)] = ""1""",,,
dexedrine_dose,demographics,,text,"Dexedrine Dose/Day",,,integer,,,,"[current_med(2)] = ""1""",,,
dexedrine_date,demographics,,text,"Dexedrine Date Started",,,date_ymd,,,,"[current_med(2)] = ""1""",,,
cylert_dose,demographics,,text,"Cylert Dose/Day",,,integer,,,,"[current_med(3)] = ""1""",,,
cylert_date,demographics,,text,"Cylert Date Started",,,date_ymd,,,,"[current_med(3)] = ""1""",,,
tranquilizers_dose,demographics,,text,"Tranquilizers Dose/Day",,,integer,,,,"[current_med(4)] = ""1""",,,
tranquilizers_date,demographics,,text,"Tranquilizers Date Started",,,date_ymd,,,,"[current_med(4)] = ""1""",,,
anticonvulsants_dose,demographics,,text,"Anticonvulsants Dose/Day",,,integer,,,,"[current_med(5)] = ""1""",,,
